id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
20156,Exotica,1994-11-30,"['Drama', 'Mystery']",English,6.7,252.0,12.772,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives.",2000000.0,"['Alliance Entertainment', 'Ego Film Arts', 'Miramax']",4221036.0,104.0,"In a world of temptation, obsession is the deadliest desire.",1994,11
20737,Air Bud,1997-08-01,"['Comedy', 'Family']",English,5.5,408.0,12.769,A lonely boy befriends a stray dog who has a natural talent for basketball and together they experience the highs and lows of life as their friendship remains solid through a series of escapades.,3000000.0,"['Walt Disney Pictures', 'Keystone Pictures', 'Air Bud Entertainment']",23144499.0,98.0,He Sits. He Stays. He Shoots. He Scores.,1997,08
19997,Niagara,1953-01-26,['Thriller'],English,6.8,322.0,12.766,"Rose Loomis and her older, gloomier husband, George, are vacationing at a cabin in Niagara Falls, N.Y. The couple befriend Polly and Ray Cutler, who are honeymooning in the area. Polly begins to suspect that something is amiss between Rose and George, and her suspicions grow when she sees Rose in the arms of another man. While Ray initially thinks Polly is overreacting, things between George and Rose soon take a shockingly dark turn.",1250000.0,['20th Century Fox'],8500000.0,92.0,A raging torrent of emotion that even nature can't control!,1953,01
33539,Once Upon a Forest,1993-06-18,"['Animation', 'Family', 'Adventure']",English,6.6,112.0,12.764,"A young mouse, mole and hedgehog risk their lives to find a cure for their badger friend, who's been poisoned by men.",13000000.0,"['Hanna-Barbera Productions', 'Harlech Television']",6582052.0,71.0,An Adventurous Race Against Time!,1993,06
11209,The Alamo,1960-10-23,['Western'],English,7.2,297.0,12.762,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,12000000.0,"['United Artists', 'Batjac Productions', 'The Alamo Company']",7900000.0,167.0,The Mission That Became a Fortress! The Fortress That Became a Shrine!,1960,10
6964,Something's Gotta Give,2003-12-12,"['Drama', 'Comedy', 'Romance']",English,6.6,1412.0,12.756,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",80000000.0,"['Waverly Films', 'Columbia Pictures', 'Warner Bros. Pictures']",266728738.0,128.0,Schmucks are people too.,2003,12
26390,Brooklyn's Finest,2010-03-04,"['Crime', 'Drama', 'Thriller']",English,6.3,806.0,12.754,Enforcing the law within the notoriously rough Brownsville section of the city and especially within the Van Dyke housing projects is the NYPD's sixty-fifth precinct. Three police officers struggle with the sometimes fine line between right and wrong.,17000000.0,"['Nu Image', 'Langley Productions', 'Fuqua Films', 'Millennium Media', 'Thunder Road']",45719985.0,133.0,This is War. This is Brooklyn.,2010,03
4477,The Devil's Own,1997-03-13,"['Crime', 'Thriller', 'Drama']",English,6.1,1034.0,12.752,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",90000000.0,['Columbia Pictures'],140807547.0,107.0,"They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war.",1997,03
10984,Valentine,2001-02-02,"['Horror', 'Thriller']",English,5.5,476.0,12.751,Four friends start receive morbid Valentine cards and realise they are being stalked by someone they had spurned 13 years ago. A masked killer is on the loose and Valentine's day is soon approaching.,10000000.0,"['NPV Entertainment', 'Village Roadshow Pictures', 'Warner Bros. Pictures']",16300000.0,96.0,Remember that kid everyone ignored on Valentine’s Day? He remembers you.,2001,02
11542,Altered States,1980-12-25,"['Horror', 'Science Fiction', 'Thriller']",English,6.7,549.0,12.745,"A research scientist explores the boundaries and frontiers of consciousness. Using sensory deprivation and hallucinogenic mixtures from native American shamans, he explores these altered states of consciousness and finds that memory, time, and perhaps reality itself are states of mind.",15000000.0,['Warner Bros. Pictures'],19853892.0,102.0,A dream is the key that unlocks the mysteries of the waking world.,1980,12
