genres,count
Action,507
Adventure,493
Animation,199
Comedy,431
Crime,220
Documentary,5
Drama,510
Family,291
Fantasy,336
History,98
Horror,187
Music,59
Mystery,194
Romance,228
Science Fiction,284
TV Movie,2
Thriller,395
War,88
Western,55
